Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois
Mer. 1,20 °C,9.9 °C,0 mm,8.8 h,,2025,10
Jeu. 2,19.3 °C,9 °C,0.2 mm,7 h,,2025,10
Ven. 3,18.7 °C,11.5 °C,3.4 mm,0 h,,2025,10
Sam. 4,18 °C,10.9 °C,7.7 mm,5.7 h,,2025,10
Dim. 5,17.1 °C,10.4 °C,0 mm (Tr),7.5 h,,2025,10
Lun. 6,16.4 °C,10.3 °C,0 mm,1.1 h,,2025,10
Mar. 7,19.8 °C,9.7 °C,0 mm,8.9 h,,2025,10
Mer. 8,17.1 °C,11.5 °C,0 mm,2.5 h,,2025,10
Jeu. 9,19.3 °C,12.6 °C,0 mm,3.9 h,,2025,10
Ven. 10,15 °C,11 °C,0 mm,0 h,,2025,10
Sam. 11,18.9 °C,11.3 °C,0 mm,9.7 h,,2025,10
Dim. 12,19.3 °C,9.7 °C,0 mm,10.2 h,,2025,10
Lun. 13,16.6 °C,10.5 °C,0 mm,2.1 h,,2025,10
Mar. 14,19 °C,12.9 °C,0 mm,6.7 h,,2025,10
Mer. 15,15.8 °C,11.3 °C,0 mm,0.7 h,,2025,10
Jeu. 16,15.1 °C,10.6 °C,0 mm,0.6 h,,2025,10
Ven. 17,17.7 °C,9.7 °C,0 mm,5.4 h,,2025,10
Sam. 18,17.3 °C,8.5 °C,0 mm,7.5 h,,2025,10
Dim. 19,15.8 °C,8.9 °C,4.8 mm,0 h,,2025,10
Lun. 20,18.3 °C,13.1 °C,0.8 mm,1.7 h,,2025,10
Mar. 21,17.3 °C,11.4 °C,0.4 mm,3.9 h,,2025,10
Mer. 22,17.4 °C,12.7 °C,5.9 mm,0.9 h,,2025,10
Jeu. 23,14.2 °C,10.8 °C,2.4 mm,2 h,,2025,10
Ven. 24,13.7 °C,6.4 °C,0 mm (Tr),6.5 h,,2025,10
Sam. 25,14.5 °C,9.3 °C,1.4 mm,5 h,,2025,10
Dim. 26,12.8 °C,7.2 °C,1.6 mm,5.2 h,,2025,10
Lun. 27,15.4 °C,9.2 °C,1 mm,3.5 h,,2025,10
Mar. 28,15.1 °C,10.5 °C,0 mm,0.7 h,,2025,10
Mer. 29,15 °C,10.4 °C,12.3 mm,1.1 h,,2025,10
Jeu. 30,14.6 °C,7.4 °C,0 mm,6.9 h,,2025,10
Ven. 31,16.9 °C,8.1 °C,0.4 mm,1.7 h,,2025,10
