Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,Enneigement,,annee,mois
Sam. 1,15.4 °C,12.5 °C,4 mm,1 h,0 cm,,2025,11
Dim. 2,14.2 °C,10.1 °C,1.2 mm,3.3 h,0 cm,,2025,11
Lun. 3,15.2 °C,7.3 °C,0.2 mm,1.7 h,0 cm,,2025,11
Mar. 4,17.3 °C,8.6 °C,0 mm,6.9 h,0 cm,,2025,11
Mer. 5,17.8 °C,10.9 °C,0 mm,4.3 h,0 cm,,2025,11
Jeu. 6,15 °C,12.4 °C,1.2 mm,0 h,0 cm,,2025,11
Ven. 7,13.9 °C,9.2 °C,0 mm (Tr),0 h,0 cm,,2025,11
Sam. 8,14.1 °C,10.2 °C,0.8 mm,1.3 h,0 cm,,2025,11
Dim. 9,11 °C,8.6 °C,0 mm,1.3 h,0 cm,,2025,11
Lun. 10,12.4 °C,7.2 °C,0.4 mm,1.3 h,0 cm,,2025,11
Mar. 11,14.7 °C,8.5 °C,0 mm,2.1 h,0 cm,,2025,11
Mer. 12,15.5 °C,8 °C,0 mm,2.7 h,0 cm,,2025,11
Jeu. 13,17 °C,10.7 °C,0.2 mm,2.4 h,0 cm,,2025,11
Ven. 14,19.6 °C,14.4 °C,0.2 mm,0.7 h,0 cm,,2025,11
Sam. 15,14.3 °C,11.9 °C,4.2 mm,1.5 h,0 cm,,2025,11
Dim. 16,12.2 °C,9.9 °C,0 mm,0.1 h,0 cm,,2025,11
Lun. 17,10.6 °C,5.9 °C,0.4 mm,2.2 h,0 cm,,2025,11
Mar. 18,9 °C,1.2 °C,0.4 mm,7.1 h,0 cm,,2025,11
Mer. 19,8.4 °C,4.5 °C,5.2 mm,1.8 h,0 cm,,2025,11
Jeu. 20,5.9 °C,2.5 °C,0 mm (Tr),4.4 h,0 cm,,2025,11
Ven. 21,3.8 °C,0.4 °C,0.6 mm,0 h,0 cm,,2025,11
Sam. 22,1 °C,-1.7 °C,1 mm,0.1 h,1 cm,,2025,11
Dim. 23,7.2 °C,-0.3 °C,5 mm,0 h,3 cm,,2025,11
Lun. 24,10.7 °C,6.4 °C,2.2 mm,3.9 h,0 cm,,2025,11
Mar. 25,8.2 °C,6.2 °C,0.6 mm,0 h,0 cm,,2025,11
Mer. 26,8.4 °C,5 °C,0 mm (Tr),1.5 h,0 cm,,2025,11
Jeu. 27,8.1 °C,2.4 °C,2.4 mm,0 h,0 cm,,2025,11
Ven. 28,10.6 °C,7.1 °C,1.8 mm,0 h,0 cm,,2025,11
Sam. 29,11.4 °C,8.3 °C,4.2 mm,0 h,0 cm,,2025,11
Dim. 30,9.2 °C,5.8 °C,0.2 mm,5.2 h,0 cm,,2025,11
