Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois
Jeu. 1,29.4 °C,14.9 °C,0 mm,11.3 h,,2025,5
Ven. 2,28.7 °C,16.3 °C,0 mm,12.2 h,,2025,5
Sam. 3,26.8 °C,16.7 °C,2.3 mm,7.2 h,,2025,5
Dim. 4,17.4 °C,9.4 °C,0 mm (Tr),5.9 h,,2025,5
Lun. 5,15.4 °C,6.7 °C,0 mm,7.7 h,,2025,5
Mar. 6,17.3 °C,7.7 °C,0 mm,6.1 h,,2025,5
Mer. 7,17.1 °C,9.2 °C,0 mm,3.3 h,,2025,5
Jeu. 8,19.8 °C,8.9 °C,0 mm,6.7 h,,2025,5
Ven. 9,21.1 °C,10.4 °C,0 mm,9.7 h,,2025,5
Sam. 10,24 °C,9.8 °C,0 mm,12.2 h,,2025,5
Dim. 11,24.2 °C,12.9 °C,5.2 mm,8.4 h,,2025,5
Lun. 12,21 °C,12.9 °C,0.6 mm,3.7 h,,2025,5
Mar. 13,22.6 °C,11.8 °C,0 mm (Tr),7.1 h,,2025,5
Mer. 14,25.4 °C,12.3 °C,0.2 mm,11 h,,2025,5
Jeu. 15,17.5 °C,9.5 °C,0 mm,5 h,,2025,5
Ven. 16,21.1 °C,9.1 °C,0 mm,14.4 h,,2025,5
Sam. 17,19.1 °C,9.6 °C,0 mm,3.3 h,,2025,5
Dim. 18,21.6 °C,9.2 °C,0 mm,11.1 h,,2025,5
Lun. 19,23.9 °C,9 °C,0 mm,14.2 h,,2025,5
Mar. 20,25.2 °C,12.8 °C,0 mm,10.9 h,,2025,5
Mer. 21,19 °C,12.9 °C,8.5 mm,0.9 h,,2025,5
Jeu. 22,20.8 °C,9.1 °C,0 mm (Tr),7.3 h,,2025,5
Ven. 23,19.1 °C,8.8 °C,0 mm,13.2 h,,2025,5
Sam. 24,20.5 °C,9.2 °C,0 mm (Tr),0.5 h,,2025,5
Dim. 25,21.6 °C,15.3 °C,1 mm,3.8 h,,2025,5
Lun. 26,19.4 °C,11.5 °C,0 mm,4.8 h,,2025,5
Mar. 27,19.2 °C,12.8 °C,0.8 mm,0.3 h,,2025,5
Mer. 28,22.1 °C,14.3 °C,0.2 mm,3.9 h,,2025,5
Jeu. 29,24.2 °C,11.5 °C,0 mm,7.2 h,,2025,5
Ven. 30,30.5 °C,14.7 °C,0 mm,14.8 h,,2025,5
Sam. 31,29.1 °C,17.2 °C,0 mm (Tr),3.3 h,,2025,5
