Jour,Température max.,Température min.,Précipitations 24h,Ensoleillement,,annee,mois,Enneigement
Mer. 1,8.8 °C,4 °C,12.9 mm,0 h,,2025,1,
Jeu. 2,5 °C,3 °C,7.3 mm,0 h,,2025,1,
Ven. 3,4.7 °C,-0.3 °C,0 mm,7.1 h,,2025,1,
Sam. 4,11 °C,-3.6 °C,9.7 mm,4.1 h,,2025,1,
Dim. 5,12.8 °C,0.9 °C,2 mm,0.1 h,,2025,1,
Lun. 6,12 °C,7.1 °C,1.6 mm,1 h,,2025,1,
Mar. 7,7.8 °C,3.9 °C,0 mm,5.9 h,,2025,1,
Mer. 8,11.9 °C,4 °C,16.1 mm,0 h,,2025,1,
Jeu. 9,10.7 °C,2.5 °C,0.8 mm,2 h,,2025,1,
Ven. 10,6.1 °C,3.1 °C,0 mm,1.2 h,,2025,1,
Sam. 11,2.6 °C,-0.5 °C,0 mm,3.8 h,,2025,1,
Dim. 12,4.8 °C,1.3 °C,0 mm,0 h,,2025,1,
Lun. 13,5.2 °C,1.3 °C,0 mm,7.7 h,,2025,1,
Mar. 14,4.7 °C,-2.3 °C,0 mm,7.8 h,,2025,1,
Mer. 15,7.2 °C,0.8 °C,0.4 mm,0 h,,2025,1,
Jeu. 16,5 °C,2.6 °C,0 mm,0 h,,2025,1,
Ven. 17,1.8 °C,0.1 °C,0 mm,0 h,,2025,1,
Sam. 18,2 °C,-0.3 °C,0 mm,0 h,,2025,1,
Dim. 19,1.8 °C,-0.7 °C,0 mm,0 h,,2025,1,
Lun. 20,0.3 °C,-0.8 °C,0 mm,0 h,,2025,1,
Mar. 21,4.3 °C,-1.1 °C,0 mm,4.1 h,,2025,1,
Mer. 22,9.3 °C,2.1 °C,22.2 mm,0 h,,2025,1,
Jeu. 23,8.7 °C,4.2 °C,0.4 mm,2.7 h,,2025,1,
Ven. 24,12.8 °C,7.2 °C,3 mm,0 h,,2025,1,
Sam. 25,12.4 °C,8.5 °C,9.7 mm,0 h,,2025,1,
